@relation SemEval2016-Task6-subtaskA-testdata-gold-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-H

@attribute Tweet string
@attribute Target string
@attribute Stance {AGAINST,FAVOR}

@data
'Dhakal: There is no silver bullet for solutions - each city has to devise own local/specific responses to #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'Follow @ClimatParis2015 for information on #CFCC15 - the climate change conference in Paris. #SemST','Climate Change is a Real Concern',FAVOR
'Am not a Catholic, but the pope is spot on when it comes climate change & protecting the amazon forest. #SemST','Climate Change is a Real Concern',FAVOR
'Food and water security are intertwined: \"\"Adaptation costs water.\"\" #CFCC15 #journey2015 #L25 #SemST','Climate Change is a Real Concern',FAVOR
'It\'s July and its 57 degrees, can\'t imagine what winter is going to feel like this year. #ChicagoWeather #SemST','Climate Change is a Real Concern',FAVOR
'Adaptation is something that reduces the negative impact or enhances the positive impact of #CFCC15 #Journey2015 #SemST','Climate Change is a Real Concern',FAVOR
'@MAPSProgramme tackles difficult challenges of growth needs and unemployment alongside #CFCC15. #SemST','Climate Change is a Real Concern',FAVOR
'Much good to be had in the lead up to #COP21. 2,200 researchers from over 100 countries, uniting to address global #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'#Earth is a #finite in #nature #environment, \"\"no amount of #dividend #value can #buy its #natural #diversity back! #SemST','Climate Change is a Real Concern',FAVOR
'#Obama said \"\"can\'t prevent oil exploration completely\"\" in the Arctic, is \"\"setting the highest possible standards=BS #shellno #SemST','Climate Change is a Real Concern',FAVOR
'@RichardTuffin Tuvalu has been at the forefront of dealing with consequences of climate change. They are realists #auspol #SemST','Climate Change is a Real Concern',FAVOR
'Be kind to the earth beneath your feet.  #environment #SemST','Climate Change is a Real Concern',FAVOR
'Also, it\'s raining here in the Brazilian central savannas. We were supposed to be in the pinnacle of the dry season. #SemST','Climate Change is a Real Concern',FAVOR
'avg house in US consumes 10,656 kWh per year 2006, Gore devoured nearly 221,000 kWh more than 20 X the nat average. #onpoli #SemST','Climate Change is a Real Concern',FAVOR
'Please will someone at @BBCRadio4 clarify what Osbourne said about oil and renewables energy?  #budget2015 #futureoftheplanet #SemST','Climate Change is a Real Concern',FAVOR
'Participation is essential: bring vulnerable voices to the table at #COP21 says @wjamann #AgCOP21 #CFCC15 @cgiarclimate #SemST','Climate Change is a Real Concern',FAVOR
'We blame cities for the majority of CO2 emissions without acknowledging their vulnerability to #CFCC15 #journey2015 #S2228 #SemST','Climate Change is a Real Concern',FAVOR
'@FoxNews LOL. Too bad all the other scientists agree with him. #ClimateChangeDenier #SemST','Climate Change is a Real Concern',FAVOR
'#KCA #VoteJKT48ID ClimateCommRPB: The green diet: how to eat healthy and save the planet #SemST','Climate Change is a Real Concern',FAVOR
'@DavidSuzukiFDN @cleanenergycan Need hydro bill fix in ON so ppl won\'t use dirty alt fuels to heat homes. #foodorheat #onpoli #SemST','Climate Change is a Real Concern',FAVOR
'#Asthma is hitting our communities hard in #Chicago says @LVEJO Kim Wasserman  #cleanair4kids #Latinos #SemST','Climate Change is a Real Concern',FAVOR
'The extreme humidity and heat right now might kill me  and it\'s only 10a.m. #FloridaProblems #SemST','Climate Change is a Real Concern',FAVOR
'@ILuvCO2 @UNGeneva @WMOnews @ParisCOP21 U love CO2 so I can only understand your point of view.But u n I know the trigger of #SemST','Climate Change is a Real Concern',FAVOR
'Haven\'t seen the mountains in days with all these fires. Can\'t stand breathing this air quality any longer!!  #SemST','Climate Change is a Real Concern',FAVOR
'@UCSUSA @POTUS @NSCPress @DHSgov @nytimes Criminal capitalist wrecked economy08Now misleadingInvestors as to Risk of #Ecocide #SemST','Climate Change is a Real Concern',FAVOR
'@UCSUSA @pmharper @ThomasMulcair @Kathleen_Wynne #CSOTA #fossilfuels corp misleading investors about liability for #Ecocide #SemST','Climate Change is a Real Concern',FAVOR
'Actually on second thoughts, it\'s pretty bloody terrifying #climatecrisis #ISS15 #SemST','Climate Change is a Real Concern',FAVOR
'Gone are the days where we would get temperatures of Min -2 and Max 5 in Cape Town #SemST','Climate Change is a Real Concern',FAVOR
'Zinta Zommers: need for a unified tool to bring all these variabilities together #CFCC15 #climate #SemST','Climate Change is a Real Concern',FAVOR
'#Mission:#Climate @ home > Run your dishwasher only if it\'s full. (by @gaiam) #Tip #ActOnClimate #SemST','Climate Change is a Real Concern',FAVOR
'Living an unexamined #life may be easier, but leads to disastrous consequences. #ActonClimate #Action2015 #leadership #SemST','Climate Change is a Real Concern',FAVOR
'@stormchaser4850 @MiddleAmericaMS @NOAA 2014 was hottest year on record. Looks like 2015 is going to break that record. #SemST','Climate Change is a Real Concern',FAVOR
'Climate Change Deniers are Like Pre Historic Cave Dwellers: California Governor Jerry Brown #CSOTA #uspoli #cdnpoli #SemST','Climate Change is a Real Concern',FAVOR
'What has happened to sunny Colorado?? #cloudy #denver #nosunshine #SemST','Climate Change is a Real Concern',FAVOR
'The biggest terror threat in the World is climate change #drought #floods #SemST','Climate Change is a Real Concern',FAVOR
'ONE Volcano emits more pollution than man has in our HISTORY! #SemST','Climate Change is a Real Concern',AGAINST
'@SenSanders Republicans don\'t care about the environment all together. They deny this fact. #SemST','Climate Change is a Real Concern',FAVOR
'@xrisham Reminds me of Nottingham in the early 1960\'s #ActOnClimate #SemST','Climate Change is a Real Concern',FAVOR
'#Follow @SkyMutual US leader in weather #riskmanagement . Helping the world\'s #economy adapt to climate change. #SemST','Climate Change is a Real Concern',FAVOR
'#CSOTA is trending at #3 in Canada on Twitter Now w/ 3,800 Tweets from the #Climate Summit of the Americas! #sm #socialmedia #SemST','Climate Change is a Real Concern',FAVOR
'Why is Stephen Harper or representative not at #costa   Does he not care about the environment?  #cdnpoli #environment #SemST','Climate Change is a Real Concern',FAVOR
'RT @TheCLF: Thanks to everyone in Maine who contacted their legislators in support of #energyefficiency funding! #MEpoli #SemST','Climate Change is a Real Concern',FAVOR
'We\'re Committed to Green in Our Dreams: @GovInslee. What\'ll Drive Change is Power of Parents & Grandparents #CSOTA #SemST','Climate Change is a Real Concern',FAVOR
'@UN_Spokesperson @FRANCE24 @UN @COP21 @NorwayMFA \"\"We are the last generation who can address this climate change #SemST','Climate Change is a Real Concern',FAVOR
'@UN ice cracking in the summer?? SO ALARMING. #climatechangehoax #SemST','Climate Change is a Real Concern',AGAINST
'I understand the rain, but it is only about 60 degrees right now..... It is never 60 degrees in July....  #SemST','Climate Change is a Real Concern',FAVOR
'#coalmining & destruction of our ability to live on earth is so stupid. Don\'t kill our species habitat #duh #Shenhua  #SemST','Climate Change is a Real Concern',FAVOR
'@abcnews @Ginger_Zee  how about you give me TWO SENTENCES about climate instead of ending with a bs whale story. #SemST','Climate Change is a Real Concern',FAVOR
'@GuardianAus @GrogsGamut Nobody denies the climate changes. #SemST','Climate Change is a Real Concern',FAVOR
'#ClimateChangeDefinitions \"\"settled science\"\" = flawed computer models with jiggered data to force a predefined conclusion. #SemST','Climate Change is a Real Concern',AGAINST
'People need to wake up & realize what\'s happening to our earth  #hello #SemST','Climate Change is a Real Concern',FAVOR
'The countries most likely to survive climate change in one infographic #Survive #Infographic #SemST','Climate Change is a Real Concern',FAVOR
'Terraform Earth so we can recolonize our own homes. #SemST','Climate Change is a Real Concern',FAVOR
'What\'s next after 2 years? :) #thinkbig #world #solution #water #SemST','Climate Change is a Real Concern',FAVOR
'Climate change has already cut into the global food supply and is fuelling wars &natural disasters #FoodFactsWithHeroRadio #SemST','Climate Change is a Real Concern',FAVOR
'@Myrmecos Still a larval theory. Still poorly modelled. Still unquantified. Still multi-factor. Still flummoxed by albedo. #SemST','Climate Change is a Real Concern',AGAINST
'Whole species #Boomers #GenerationX GenerationY #GenZ Needs a vacation. 25 years on a Greek Island anyone? #HumanExtinction #SemST','Climate Change is a Real Concern',FAVOR
'#Mission:#Climate on the road > Fly less #Tip #EarthRightNow #SemST','Climate Change is a Real Concern',FAVOR
'Edenhofer: Carbon pricing is needed but not sufficient. we need complementary policies to counter #coal renaissance & #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'Humanity is making #mother earth angry, that angriness is the reason for #SemST','Climate Change is a Real Concern',FAVOR
'UK homes & buildings need to be adapted to higher temperatures Daniel Johns @theCCCuk #weetfEvents #adaptation #SemST','Climate Change is a Real Concern',FAVOR
'Plants and trees make oxygen which we breathe and killing the rainforest will make the earths oxygen supply weak. #earth #SemST','Climate Change is a Real Concern',FAVOR
'Climate deniers is a term used to silence those pointing out the hypocrisy in the fanatical zeal on  #climatetruth #SemST','Climate Change is a Real Concern',AGAINST
'#Mission:#Climate on the road > Purchase a fuel-efficient, low-greenhouse gas vehicle (by @EPA) #Tip #MissionAccept #SemST','Climate Change is a Real Concern',FAVOR
'@algore: Will we change? That\'s the reason we are here. Be of good cheer. We\'re going to win this #CSOTA #SemST','Climate Change is a Real Concern',FAVOR
'Incredibly moving as a scientist weeps on @BBCRadio4 for the #ocean & for our grandchildren\'s future ttp://bbc.in/1G9uil5 #SemST','Climate Change is a Real Concern',FAVOR
'Following the invitation only Climate Summit of the Americas online via twitter #CSOTA #Toronto #environment #COP21 #climate #SemST','Climate Change is a Real Concern',FAVOR
'Are the voices of younger generations represented at #CSOTA? We have a say in our collective future. #environment #COP21 #SemST','Climate Change is a Real Concern',FAVOR
'@WalshConstCo We\'re proud to sign #ORbizclimatedeclaration because we are committed to fighting climate change #SemST','Climate Change is a Real Concern',FAVOR
'I remember a time when summer was actually summer, you know when it was sunny and 90 degrees everyday #whatshappening #SemST','Climate Change is a Real Concern',FAVOR
'@neiltyson Rettet die Erde! Save the Earth!  #SemST','Climate Change is a Real Concern',FAVOR
'@wattsupwiththat yes ironic that the alarmists are the actual \"\"deniers #SemST','Climate Change is a Real Concern',AGAINST
'@JustinTrudeau Hey Justin I will give you 50 cents if you stop talking about climate \'Change\' #Ottawa #davidsuzuki #cbc #SemST','Climate Change is a Real Concern',AGAINST
'If @EPA & @POTUS don\'t have to follow SCOTUS why should anyone else have to #ClimateFraud #SpecialReport #WakeUpAmerica #SemST','Climate Change is a Real Concern',AGAINST
'If we want a future for our/Canadian kids we all need to seriously wake the fuck up,No more talk only action #Harper  #SemST','Climate Change is a Real Concern',FAVOR
'Govt announcement on zero carbon homes \"\"short-sighted, unnecessary, retrograde and damaging\"\" says @UKGBC #energyefficiency #SemST','Climate Change is a Real Concern',AGAINST
'@bbcweather Good to see more global awareness, thanks. #SemST','Climate Change is a Real Concern',FAVOR
'We are not \"\"killing the Earth\"\". The Earth has been through worse and will be fine after all humans suffocate, drown or starve #SemST','Climate Change is a Real Concern',AGAINST
'Sea Level Rise above 6 meters - what does that mean? It means 20 ft above current heights. #SemST','Climate Change is a Real Concern',FAVOR
'@Agent350 This is not a fantasy this is negligence collusion with criminal corporations acting with negligence to #Ecocide #SemST','Climate Change is a Real Concern',FAVOR
'We need governments and corporations to respond AND ordinary people to change our daily habits to consume less. #SemST','Climate Change is a Real Concern',FAVOR
'#Mission:#Climate @ home > Take a shower instead of a bath #Tip #LoveOurPlanet #SemST','Climate Change is a Real Concern',FAVOR
'The only thing \"\"man made\"\" about global warming is the false narrative. #WakeUpAmerica #boycottSanFrancisco #Election2016 #SemST','Climate Change is a Real Concern',AGAINST
'Growing concern of Pacific Islanders to adapt to sea level rise, increasing storminess; want to avoid becoming CC refugees #SemST','Climate Change is a Real Concern',FAVOR
'@4EvaMartino  Everyone should learn this recipe - given summers are going to get warmer every year! #SemST','Climate Change is a Real Concern',FAVOR
'Rec high temp for this date in Charlotte is 101*. That was set in 1926. T-models were the worst for dangerous emissions. #SemST','Climate Change is a Real Concern',FAVOR
'Maybe we should start \"\"labelling every #product\"\" made with its \"\"#Environmental #footprint\"\"? Sooner or later we must act! #SemST','Climate Change is a Real Concern',FAVOR
'If we touch #Antarctica for one more #reason other than to #research the #impact of us we would be #insane! #Democracy #Goal? #SemST','Climate Change is a Real Concern',FAVOR
'Wind power helped stabilize Texas\' power grid during a 2014 cold snap that suddenly increased demand. #ClimateHope #Climate #SemST','Climate Change is a Real Concern',FAVOR
'It\'s so cold and windy here in Sydney, I just saw a climate scientist fly past my window #auspol #ClimateChangeIsReal #SemST','Climate Change is a Real Concern',FAVOR
'Feminists can TOTALLY wear makeup and don\'t tell me otherwise. #choices #SemST','Feminist Movement',AGAINST
'I searched for posts with \"\"feminist\"\" tag and saw how much hatred is against feminism. #misogyny #tumblr #hatred #sadness #tears #SemST','Feminist Movement',AGAINST
'I saw a little girl wearing a mustache from the vending machine. #equality #SemST','Feminist Movement',AGAINST
'Women are taught to put their values into their hymens, rather than their intelligence, accomplishments, goals or character #SemST','Feminist Movement',AGAINST
'If u link anti feminism with misogyny or inequality-lover, please dont reproduce! The world have enough imbeciles . #SemST','Feminist Movement',AGAINST
'Many feminist sexualise and objectify men and yet they insult men who does it calling them pervert #SemST','Feminist Movement',AGAINST
'Let us thank the likes of @thunderf00t and @Sargon_of_Akkad for exposing the complete idiocy of modern feminism. #SemST','Feminist Movement',AGAINST
'@kdeleon how many were young women? Were there any black young women? #SemST','Feminist Movement',AGAINST
'Feel things will truly be equal in marriage when I see jock strap tossed to the \'single women\' a weddings alongside the garter #SemST','Feminist Movement',AGAINST
'A wOMAN?? Wanting to be EQUAL to a MAN???!?! What monstrosity is this?!??!!!? #SemST','Feminist Movement',AGAINST
'sometiimes you just feel like punching a feminist in the face #SemST','Feminist Movement',AGAINST
'One thing I learned from my job: doors to opportunity cover fee that only the privileged can afford. #privilege #truth #SemST','Feminist Movement',AGAINST
'1 thing I learned from my job: doors leading 2 opportunity have a cover fee only the #privileged can afford #sadtruth #SemST','Feminist Movement',AGAINST
'Just like book-burning for ANGRY religious people, ANGRY feminists like to burn whatever looks like free speech. #SemST','Feminist Movement',AGAINST
'Independence Day is a day where men get wasted and dehumanize women by blowing off fireworks! #endJuly4th #SemST','Feminist Movement',AGAINST
'Husband: \"\"They should know that she\'s always born with it. It\'s never Maybelline.\"\" #beauty #SemST','Feminist Movement',AGAINST
'@CaptHaddock83 oh, that\'s an easy one: RUN! #spankafeminist #SemST','Feminist Movement',AGAINST
'@verilymary @taylynneduvall no, men need a movement that will help them not hurt them #SemST','Feminist Movement',AGAINST
'The hypothesis of gender as a social construct is prevalent in majority of feminist ideas. Ergo most feminists are TERF. #SemST','Feminist Movement',AGAINST
'I can\'t write male characters because I\'m a woman?  then a man shouldn\'t tell me what a woman can\'t do cos he\'s a man #SemST','Feminist Movement',AGAINST
'Turns out it\'s 3 people who have mansplained to me in the past couple of days. I forgot about the racist bigot #SemST','Feminist Movement',AGAINST
'You\'re stupid & mens rights is nothing - I love you Leslie Knope. @parksandrecnbc #MRA #mensrights #lol #SemST','Feminist Movement',AGAINST
'Ask her father for her hand in marriage. How language reinforces patriarchy. She is his property. And mom? #equality #SemST','Feminist Movement',AGAINST
'Can we grow up and stop catcalling? #SemST','Feminist Movement',AGAINST
'just want to give my hair follicles a quick shoutout for giving me armpit hair, cos nout says equality quite like an unused razor #SemST','Feminist Movement',AGAINST
'Tonight I got called \'the one with the great rack\' and I felt empowered because objectification exists for both sexes #SemST','Feminist Movement',AGAINST
'Girls over 130 pounds shouldn\'t wear a swim suit #womenintech #SemST','Feminist Movement',AGAINST
'@Chase_Santos and #Hillary is going to keep it that way! Right, @HillaryClinton ? #gayrights #equality #SemST','Feminist Movement',AGAINST
'Feminists in America have no idea what oppress looks like #SemST','Feminist Movement',AGAINST
'@WiTOpoli I hope everyone is going to see \"\"she\'s beautiful when she\'s angry\"\"; see the origins of what you are doing #SemST','Feminist Movement',AGAINST
'Girls over 130 pounds shouldn\'t wear a bikini #womenintech #SemST','Feminist Movement',AGAINST
'Thanks to SJW, I now associate the word \"\"trigger\"\" with a joke and I\'m going to offend an actual PTSD victim #SemST','Feminist Movement',AGAINST
'@ramzaruglia @a_man_in_yellow Just imagine all the semen those women are slurping in the bottom left pic #YesAllWomen #SemST','Feminist Movement',AGAINST
'Girls are such animals. All they want is sex . I just want to be closer to God. #SemST','Feminist Movement',AGAINST
'I thought you would like it @AceofSpades14 #feminist #SemST','Feminist Movement',AGAINST
'@nytimes @nytopinion this is more of a personal preference than a gender issue. Do nt strip manners away from younger generation! #SemST','Feminist Movement',AGAINST
'Julie Burchill dismissed male suicide as inconsequential because they are men. Her son killed himself this week - karma #SemST','Feminist Movement',AGAINST
'@always__already Thanks for the fantastic story last month. So well captured us! Can\'t believe we missed it! #thisiswhatwelooklike #SemST','Feminist Movement',AGAINST
'Going off to write up second part of #TimHunt story - the collusion & false reports of @connie_Stlouis et al in Seoul. #journalism #SemST','Feminist Movement',AGAINST
'Internalized misogyny is awful! People who have conflicting opinions to my own should be dead because I\'m an Authoritarian #SemST','Feminist Movement',AGAINST
'DEAR FEMINISTS   Don\'t say you are \"\"disempowered\"\" when you have the power to get anybody fired, just like #TimHunt. #SemST','Feminist Movement',AGAINST
'Last RT: \"\"there were lawsuits around women being able to eat in public without chaperone\"\"  USA  20th Century  #SemST','Feminist Movement',AGAINST
'In civilian clothes and someone laughs at me thinking its a joke that I\'m apart of the U.S. Navy. #SemST','Feminist Movement',AGAINST
'Nice rap by @RanveerOfficial @arjunk26 late but you made your point ki admi ki kya hai jarorat its all about #SemST','Feminist Movement',AGAINST
'Ironic how the anti- feminist intimidation machine has drowned out the voices of those trying to civilly critique feminist ideas. #SemST','Feminist Movement',AGAINST
'Apparently #YesAllWomen who \"\"don\'t need no man\"\" never drive a car, turn on a light switch, or drink clean water. #SemST','Feminist Movement',AGAINST
'Welp. I just saw the infamous Radfem \"\"Protests\"\" at a Toronto MRA speech for the first time. Disgusting. #feminismiscruelty #SemST','Feminist Movement',AGAINST
'What\'s red and something all feminist should bite into? A brick now stfu #SemST','Feminist Movement',AGAINST
'I can get women not being feminists,  sort of. But women being meninists/MRAs? What the actual fuck #MRA #SemST','Feminist Movement',AGAINST
'..Can I also add that I really enjoyed looking at @TahirRajBhasin in #Mardaani :P Tahir, you were a dashing baddie! #Bollywood #SemST','Feminist Movement',AGAINST
'As I rewatced Charmed episodes! LOVING IT EVEN MORE! #SemST','Feminist Movement',AGAINST
'We cannot succeed when half of us are held back. Malala Yousafzai #SmartGlamour #feminist #yesallwomen #equality #SemST','Feminist Movement',AGAINST
'@Afshah_Ronaldo you don\'t tell me what to do, i\'m a strong individual male, I can make my own choices #ABCD #SayNoToOppresion #SemST','Feminist Movement',AGAINST
'Anyone got links to anti-feminist/egalitarian chotchkies? Pins, buttons and the like? #antifeminism #egalitarian #SemST','Feminist Movement',AGAINST
'Equality is the police burying a domestic violence accusation against a female sports star, too #wedidit #usa #SemST','Feminist Movement',AGAINST
'2015 is the year of the uterus #sheBELIEVES #WWC2015 #SemST','Feminist Movement',AGAINST
'It wouldn\'t be a #FIFA event without women in tight dresses. Wrong place. Wrong time. #womensworldcup #SemST','Feminist Movement',AGAINST
'Too bad the women carrying the trophies look like they\'re in the Robert Palmer Video. #FIFAWWCFinal #USAvJPN #SemST','Feminist Movement',AGAINST
'Really great to see people cheering for Hope Solo even though she has been involved in domestic abuse #equality #SemST','Feminist Movement',AGAINST
'@godlyputhy @jalexus_aames good but the first one is a technically false fact but whatever yay #SemST','Feminist Movement',AGAINST
'Up next! Watch me get called \"\"a sexist pig\"\" for ordering a sandwich from a female Subway sandwich engineer. #SemST','Feminist Movement',AGAINST
'@SpectreOfChaos is trolling #YesAllWomen. He is a stalker who has doxed  and harassed people for weeks. It is best to block him. #SemST','Feminist Movement',AGAINST
'@atheena99 @dopee_curlyy i don\'t even know what to say to that. You\'re content with being paid less and not treated like an equal? #SemST','Feminist Movement',AGAINST
'When I go up the steps of my house I feel like the @ussoccer_wnt .. I too have won the Women\'s World Cup. #brokenlegprobs #USA #SemST','Feminist Movement',AGAINST
'If a woman can list height preferences for men in dating profiles, men should be able to list bra sizes. #equality #hypocrisy #SemST','Feminist Movement',AGAINST
'@coffey_cake4 @DailySexSupply too bad idgaf about #SemST','Feminist Movement',AGAINST
'@mraguyot Yup, way more than I would ever buy, but hey, something for everybody.   #antifeminism #antiSJW #MGTOW #SemST','Feminist Movement',AGAINST
'Other people may hate #feminists, but at least they don\'t hate the opposite sex.   #feminist #sexism #SemST','Feminist Movement',AGAINST
'Many feminist are praising hope solo!! She( domestic abuser) has become their idol!! #SemST','Feminist Movement',AGAINST
'@alias_burgerboy @craigspissed @forthleft infanticide, child to parent abuse, sibling abuse, abuse against  males, LGBT DV #SemST','Feminist Movement',AGAINST
'Feminist only want the same benefiting right as men not those harmful ones eg prison time and divorce!! Equality??? #SemST','Feminist Movement',AGAINST
'If Feminism wants equal rights as men  they must so advocate for equal prison time and losing custody rights, which they won\'t do! #SemST','Feminist Movement',AGAINST
'@RepubGirlLife But if I said this about how hot Hope Solo is..... Feminists would go ape shit #screwfeminism #SemST','Feminist Movement',AGAINST
'\'Manspreading\'? But women hog subway space, too ! #doublestandards #SemST','Feminist Movement',AGAINST
'I hate government, but if I were in government i\'d want to be a District Attorney or a Judge to hold #YesAllWomen accountable. #SemST','Feminist Movement',AGAINST
'Ayyyy more hypocrisy: Hope Solo, serial domestic abuser is celebrated like a hero for winning the women\'s World Cup #SemST','Feminist Movement',AGAINST
'I still can not get over teamwork being considered female thing. It is not consistent with my experiences at all. #SemST','Feminist Movement',AGAINST
'Feminists claim everything is a \"\"social construct\"\" because gender studies people usually suck at biology.  #GamerGate #SemST','Feminist Movement',AGAINST
'Feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science. #SemST','Feminist Movement',AGAINST
'@NorBdelta HE DESERVED IT FOR BEING PART OF THE DOMINATING SEX CHECK YOUR PRIVILEGE #equality #SemST','Feminist Movement',FAVOR
'By writing her self, woman will return to the body which has been more than confiscated from her - Hlne Cixous #theatre #SemST','Feminist Movement',FAVOR
'Having fabulous feminist conversations with Naoise Wheelan. #SemST','Feminist Movement',FAVOR
'If you\'re a #feminist it\'s only because absolutely no one would shove their semi hard cock into you. Let that sink in. #SemST','Feminist Movement',AGAINST
'We live in a sad world when wanting equality makes you a troll... #SemST','Feminist Movement',FAVOR
'So the ladies get Magic Mike XXL, can us guys have Magic Michelle 36DD? No because the feminists would shut it down. #SemST','Feminist Movement',AGAINST
'I\'m not a feminist, I believe in equality of the sexes! THATS EXACTLY WHAT FEMINISM IS #SemST','Feminist Movement',FAVOR
'I still cannot get over how much women are degraded in media, sports, and the business world simply because of who we are #SemST','Feminist Movement',FAVOR
'The define of feminism clearly states that it is for women and yet feminist still deny it-\"\"it\'s for everyone\"\"!! #SemST','Feminist Movement',AGAINST
'FEMINIST WHO TOOK PHOTOS OF MEN\'S  CROTCHES SHOULD BE CHARGED.  #MANSPREADING #SemST','Feminist Movement',AGAINST
'Evidence that modern feminism is stupid and pointless - #Manspreading . #SemST','Feminist Movement',AGAINST
'I aim to stop continuing to allow men in my life to lead when they are capable of only following. #manifesta #iamFuriosa #SemST','Feminist Movement',FAVOR
'Feminists: stop with the rape jokes! How do you think the women feel?!  Me: depends on how big it is  #Meninist #SemST','Feminist Movement',AGAINST
'Should start a \"\"menism\"\" movement. The amount of times people say \"\"you\'ve got tidy handwriting for a guy\"\" is ridiculous #SemST','Feminist Movement',AGAINST
'You are NOT a feminist if you are a racist. If you don\'t stand for all girls of every color, shape, size then u ain\'t a feminist #SemST','Feminist Movement',FAVOR
'Some Feminists are doing a huge disservice to rape victims by lying about numbers and supporting false accusations. #SemST','Feminist Movement',AGAINST
'Nice job referring to a human being as an \"\"It\"\" #DolphZiggler. #WomensWrestling #RawChicago #SemST','Feminist Movement',FAVOR
'MARRIAGE for a man is MURDERAGE, That\'s right MURDER\'RAGE! Women have ruined the trust of men, and destabilized their own future. #SemST','Feminist Movement',AGAINST
'It\'s incredibly easy to identify shitty females with a poor view on the world and what\'s important thanks to #SemST','Feminist Movement',AGAINST
'You think its hard to give birth? Bitch have u ever tried to shave a pair of balls? #SemST','Feminist Movement',AGAINST
'I like girls. They just need to know there place. #SemST','Feminist Movement',AGAINST
'Men and women should have equal rights, we are all human... #SemST','Feminist Movement',FAVOR
'I need feminism because \"\"what were you wearing\"\" shouldn\'t be a question when I tell my stepmom I was cat called. #SemST','Feminist Movement',FAVOR
'your mother did not carry you for 9 months so you could yell \'suck my dick\' at me from your car #SemST','Feminist Movement',FAVOR
'It\'s a problem when explaining feminism, even in a calm & complex level, cannot be understood. #feminist #respect #EqualityForAll #SemST','Feminist Movement',FAVOR
'Remember men, if a woman hits you, you have no right to defend yourself #DeAndreJohnson #SemST','Feminist Movement',AGAINST
'Does it involve women? It\'s sexist. Does it not involve women? It\'s sexist. No winning. #SemST','Feminist Movement',AGAINST
'fEminism?? eQual rights??? treating people like HUMANS??nono nooooiscruelty #SemST','Feminist Movement',AGAINST
'Ladies is pimps too. Go on brush your shoulders off. #SemST','Feminist Movement',FAVOR
'Women want to be treated as equals until they get hit after hitting a man first. BULL SHIT! MOTHA FUCK #SemST','Feminist Movement',AGAINST
'@trutherbotred there\'s a woman in a picture and she\'s being groped lets yell #womensrights #feminist #SemST','Feminist Movement',FAVOR
'If feminism was not a religion, feminists would not fervently reject all evidence they emotionally find blasphemous. #SemST','Feminist Movement',AGAINST
'I thought this video on #equality was interesting, contradictions and demonization about men in the agenda of passive and activist #SemST','Feminist Movement',AGAINST
'Evidence of the fossil record to creationists is the evidence against the wage gap to feminists.   #GamerGate #SemST','Feminist Movement',AGAINST
'#howtospotafeminist?  They are so sexually unattractive that even in a world of rapists they would always be safe. #SemST','Feminist Movement',AGAINST
'Everyone quick, feminists are a minority now! lol #SemST','Feminist Movement',AGAINST
'And girls just wanna have fun...damental rights #SemST','Feminist Movement',FAVOR
'Why isn\'t this #Women also being #Charged for attacking #DeAndreJohnson first.#DoubleStandards #Sport #NFL #Abuse #CorruptSystem #SemST','Feminist Movement',AGAINST
'When women spend too much time out of the kitchen they get over opinionated and think they know everything #feminist #SemST','Feminist Movement',AGAINST
'EEWWW! Drawing attention to women\'s health issues like breast, ovarian, and uterine cancer?!!? #feminismiscruelty #SemST','Feminist Movement',AGAINST
'Helping getting laws for both patents to get paid maternity leave???!! WHEN WILL THIS MADNESS STOP?!?!?? #feminismiscruelty #SemST','Feminist Movement',AGAINST
'@moo_mena unlearn that believing in gender equality is life saving, yes it\'s fab-but why not actively fight for change? #SemST','Feminist Movement',FAVOR
'@WALKAFLOCKKAA @kasscheeks @WeNeedFeminlsm they all acting like they lived through medieval times and shit #SemST','Feminist Movement',AGAINST
'@NormaniKordei hi, can u pls rt this people need to know about this!!!!! #feminist #SemST','Feminist Movement',FAVOR
'@AllyBrooke hi, can u pls rt this people need to know about this!!!!! #feminist #SemST','Feminist Movement',FAVOR
'So if a women earns money then it\'s HERS to KEEP??  #feminismiscruelty #SemST','Feminist Movement',AGAINST
'Growing up, getting told \"\"no let your brother do that it\'s too heavy\"\" is why we need feminism #SemST','Feminist Movement',FAVOR
'Being a woman & being a feminist just means your not on your own side. #SemST','Feminist Movement',AGAINST
'UGH I am SICK to DEATH of this whole bitches wanting \"\"equality\"\" thing like stfu u DUMB CUNT #feminismiscruelty #SemST','Feminist Movement',AGAINST
'Whine about how things aren\'t going your way, even though you\'re an adult. #LikeAFeminist #SemST','Feminist Movement',AGAINST
'To the young woman I stood next to at KL airport. Sorry I did not step in when your partner grabbed, threatened you #YesAllWomen #SemST','Feminist Movement',FAVOR
'Not catering to a woman that doesn\'t bring = amount to the table as I do. #equality  #SemST','Feminist Movement',AGAINST
'He who has authentic power pays the bill & she who has the feminist illusion of power demands the divorce settlement. #SemST','Feminist Movement',AGAINST
'Lol feminist don\'t complain about how men get less clothing options at stores. (When they say there for gender equality) #SemST','Feminist Movement',AGAINST
'Would mean a lot if u clicked the link in my bio #feminist #SemST','Feminist Movement',FAVOR
